sample_id,lithology,analyte,value,unit,qualifier,method,source_table
HX12-03,Gabbro,SiO2,50.54,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,TiO2,1.39,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,Al2O3,18.2,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,Fe2O3,11.87,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,MnO,0.28,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,MgO,6.01,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,CaO,8.65,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,Na2O,2.72,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,K2O,0.5,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,P2O5,0.31,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,LOI,0.03,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,Total,100.49,wt%,,XRF/fused bead,Table 1
HX12-03,Gabbro,Rb,7.83,ppm,,XRF,Table 1
HX12-03,Gabbro,Sr,368.0,ppm,,XRF,Table 1
HX12-03,Gabbro,Y,26.3,ppm,,XRF,Table 1
HX12-03,Gabbro,Zr,56.7,ppm,,XRF,Table 1
HX12-03,Gabbro,Nb,7.23,ppm,,XRF,Table 1
HX12-03,Gabbro,Ba,137.0,ppm,,XRF,Table 1
HX12-03,Gabbro,Cs,0.222,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,Pb,17.8,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,Th,0.24,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,U,0.0534,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,La,7.57,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,Ce,17.9,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,Pr,2.38,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,Nd,10.9,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,Sm,2.78,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,Eu,0.928,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,Dy,3.82,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,Yb,2.42,ppm,,Q-ICP-MS,Table 1
HX12-03,Gabbro,Lu,0.359,ppm,,Q-ICP-MS,Table 1
HX12-04,Gabbro,SiO2,50.71,wt%,,XRF/fused bead,Table 1
HX12-04,Gabbro,TiO2,1.18,wt%,,XRF/fused bead,Table 1
HX12-04,Gabbro,Al2O3,19.42,wt%,,XRF/fused bead,Table 1
HX12-04,Gabbro,Fe2O3,10.53,wt%,,XRF/fused bead,Table 1
HX12-04,Gabbro,MnO,0.14,wt%,,XRF/fused bead,Table 1
HX12-04,Gabbro,MgO,5.73,wt%,,XRF/fused bead,Table 1
HX12-04,Gabbro,CaO,8.91,wt%,,XRF/fused bead,Table 1
HX12-04,Gabbro,Na2O,2.88,wt%,,XRF/fused bead,Table 1
HX12-04,Gabbro,K2O,0.64,wt%,,XRF/fused bead,Table 1
HX12-04,Gabbro,P2O5,0.28,wt%,,XRF/fused bead,Table 1
