sample_id,SiO2_wt,TiO2_wt,Al2O3_wt,Fe2O3_wt,MnO_wt,MgO_wt,CaO_wt,Na2O_wt,K2O_wt,P2O5_wt,LOI_wt,Total_wt
HX12-03,50.54,1.39,18.2,11.87,0.28,6.01,8.65,2.72,0.5,0.31,0.03,100.49
HX12-04,50.71,1.18,19.42,10.53,0.14,5.73,8.91,2.88,0.64,0.28,0.42,100.85
HX12-09a,48.87,0.69,14.82,15.06,0.34,10.13,8.06,1.37,0.39,0.07,0.5,100.28
HX12-10a,48.06,0.59,16.34,14.94,0.32,9.35,9.14,1.48,0.27,0.05,0.21,100.75
HX12-10b,48.29,0.48,17.37,13.24,0.33,8.98,9.41,1.63,0.28,0.06,0.15,100.21
HX12-08b,53.68,0.84,16.09,7.84,0.13,5.1,8.24,3.31,1.3,0.21,0.25,97.0
HX12-08c,54.81,0.89,14.87,9.27,0.19,7.08,8.28,3.22,1.21,0.23,0.2,100.24
HX12-12,55.35,1.24,18.27,8.74,0.15,4.72,7.46,3.05,1.11,0.27,0.12,100.48
HX12-18,48.38,1.45,17.75,8.48,0.11,8.49,9.43,2.59,3.34,0.74,0.26,101.02
HX12-20,50.04,0.62,10.16,9.15,0.17,13.22,15.0,1.48,0.58,0.05,0.19,100.65
HX12-21,45.64,1.53,15.39,14.54,0.19,10.27,10.71,1.82,0.66,0.03,0.17,100.94
HX12-22,58.66,0.91,18.43,7.46,0.13,2.73,5.77,3.8,2.66,0.23,0.12,100.91
HX12-PE,,,,,,,,,,,,
HX12-23,44.13,0.65,14.34,9.22,0.17,19.85,4.8,0.57,6.15,0.33,0.29,100.5
HX12-01,55.77,0.9,17.68,7.31,0.13,4.68,8.5,3.62,1.57,0.35,0.25,100.75
HX12-19,48.4,1.1,17.77,9.47,0.16,8.62,10.65,2.59,0.77,0.07,0.36,99.95
