sample_id,sample_name,locality,lithology,has_figure2_images,sample_folder,petrographic_note,source_reference,area,geologic_unit,sample_type,reference_id
HX12-03,HX12-03,"Hime-shima volcanic group, Kane lava coastal boulders",Gabbro,yes,samples/HX12-03/,Gabbro xenolith; Pl + Cpx + Opx with minor Ol and accessory Grt.,Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-04,HX12-04,"Hime-shima volcanic group, Kane lava coastal boulders",Gabbro,no,samples/HX12-04/,Gabbro xenolith; Pl + Cpx + Opx with minor Ol and accessory Grt.,Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-09a,HX12-09a,"Hime-shima volcanic group, Kane lava coastal boulders",Gabbro,no,samples/HX12-09a/,Gabbro xenolith; Pl + Cpx + Opx with minor Ol and accessory Grt.,Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-10a,HX12-10a,"Hime-shima volcanic group, Kane lava coastal boulders",Gabbro,no,samples/HX12-10a/,Gabbro xenolith; Pl + Cpx + Opx with minor Ol and accessory Grt.,Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-10b,HX12-10b,"Hime-shima volcanic group, Kane lava coastal boulders",Gabbro,no,samples/HX12-10b/,Gabbro xenolith; Pl + Cpx + Opx with minor Ol and accessory Grt.,Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-08b,HX12-08b,"Hime-shima volcanic group, Kane lava coastal boulders",Gabbroic Diorite,no,samples/HX12-08b/,"Gabbroic diorite xenolith; Pl + Kfs + Bt with minor Amp, Qtz, and Opx.",Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-08c,HX12-08c,"Hime-shima volcanic group, Kane lava coastal boulders",Gabbroic Diorite,yes,samples/HX12-08c/,"Gabbroic diorite xenolith; Pl + Kfs + Bt with minor Amp, Qtz, and Opx.",Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-12,HX12-12,"Hime-shima volcanic group, Kane lava coastal boulders",Gabbroic Diorite,no,samples/HX12-12/,"Gabbroic diorite xenolith; Pl + Kfs + Bt with minor Amp, Qtz, and Opx.",Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-18,HX12-18,"Hime-shima volcanic group, Kane lava coastal boulders",Amp gneiss,no,samples/HX12-18/,Amphibole gneiss; Amp + Bt + Qtz + Pl with minor Kfs and Opx.,Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-20,HX12-20,"Hime-shima volcanic group, Kane lava coastal boulders",Amp gneiss,yes,samples/HX12-20/,Amphibole gneiss; Amp + Bt + Qtz + Pl with minor Kfs and Opx.,Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-21,HX12-21,"Hime-shima volcanic group, Kane lava coastal boulders",Amp gneiss,no,samples/HX12-21/,Amphibole gneiss; Amp + Bt + Qtz + Pl with minor Kfs and Opx.,Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-22,HX12-22,"Hime-shima volcanic group, Kane lava coastal boulders",Amp gneiss,no,samples/HX12-22/,Amphibole gneiss; Amp + Bt + Qtz + Pl with minor Kfs and Opx.,Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-PE,HX12-PE,"Hime-shima volcanic group, Kane lava coastal boulders",Grt gneiss,yes,samples/HX12-PE/,Garnet gneiss; Pl + Bt + Sil + Grt + Qtz; zircon grains used for U-Pb dating.,Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-23,HX12-23,"Hime-shima volcanic group, Kane lava coastal boulders",Amphibolite,yes,samples/HX12-23/,Amphibolite; Amp + Bt + Cpx with minor Opx and Pl neoblasts; schistosity and kink bands.,Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-01,HX12-01,"Hime-shima volcanic group, Kane lava coastal boulders",Basaltic  andesite,yes,samples/HX12-01/,"Basaltic andesite xenolith with intersertal texture; Pl + Amp with minor Ol, Cpx, Bt phenocrysts.",Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
HX12-19,HX12-19,"Hime-shima volcanic group, Kane lava coastal boulders",Tuffaceous  sandstone,yes,samples/HX12-19/,"Tuffaceous sandstone xenolith containing Pl and oxidized Amp with minor Qtz, Bt, and igneous rock fragments.",Hirayama et al. 2022 JMPS,姫島,Hime-shima volcanic group,xenolith,Hirayama2022_JMPS
