category,unit/analyte,Gabbro,Gabbro,Gabbro,Gabbro,Gabbro,Gabbroic Diorite,Gabbroic Diorite,Gabbroic Diorite,Amp gneiss,Amp gneiss,Amp gneiss,Amp gneiss,Grt gneiss,Amphibolite,Basaltic andesite,Tuffaceous sandstone
sample,sample_id,HX12-03,HX12-04,HX12-09a,HX12-10a,HX12-10b,HX12-08b,HX12-08c,HX12-12,HX12-18,HX12-20,HX12-21,HX12-22,HX12-PE,HX12-23,HX12-01,HX12-19
major elements,wt%,,,,,,,,,,,,,,,,
major elements,SiO2,50.54,50.71,48.87,48.06,48.29,53.68,54.81,55.35,48.38,50.04,45.64,58.66,,44.13,55.77,48.4
major elements,TiO2,1.39,1.18,0.69,0.59,0.48,0.84,0.89,1.24,1.45,0.62,1.53,0.91,,0.65,0.9,1.1
major elements,Al2O3,18.2,19.42,14.82,16.34,17.37,16.09,14.87,18.27,17.75,10.16,15.39,18.43,,14.34,17.68,17.77
major elements,Fe2O3,11.87,10.53,15.06,14.94,13.24,7.84,9.27,8.74,8.48,9.15,14.54,7.46,,9.22,7.31,9.47
major elements,MnO,0.28,0.14,0.34,0.32,0.33,0.13,0.19,0.15,0.11,0.17,0.19,0.13,,0.17,0.13,0.16
major elements,MgO,6.01,5.73,10.13,9.35,8.98,5.1,7.08,4.72,8.49,13.22,10.27,2.73,,19.85,4.68,8.62
major elements,CaO,8.65,8.91,8.06,9.14,9.41,8.24,8.28,7.46,9.43,15.0,10.71,5.77,,4.8,8.5,10.65
major elements,Na2O,2.72,2.88,1.37,1.48,1.63,3.31,3.22,3.05,2.59,1.48,1.82,3.8,,0.57,3.62,2.59
major elements,K2O,0.5,0.64,0.39,0.27,0.28,1.3,1.21,1.11,3.34,0.58,0.66,2.66,,6.15,1.57,0.77
major elements,P2O5,0.31,0.28,0.07,0.05,0.06,0.21,0.23,0.27,0.74,0.05,0.03,0.23,,0.33,0.35,0.07
major elements,LOI,0.03,0.42,0.5,0.21,0.15,0.25,0.2,0.12,0.26,0.19,0.17,0.12,,0.29,0.25,0.36
major elements,Total,100.49,100.85,100.28,100.75,100.21,97.0,100.24,100.48,101.02,100.65,100.94,100.91,,100.5,100.75,99.95
trace elements,ppm,,,,,,,,,,,,,,,,
trace elements,Rb,7.83,9.94,10.8,5.74,5.9,23.4,22.2,14.3,181.0,7.84,15.8,104.0,12.0,304.0,25.0,13.5
trace elements,Sr,368.0,878.0,220.0,282.0,328.0,696.0,608.0,756.0,947.0,216.0,227.0,398.0,27.7,24.3,1730.0,580.0
trace elements,Y,26.3,23.3,34.9,16.3,14.1,14.9,29.9,31.2,26.6,,48.6,50.7,5.34,21.9,25.0,19.0
trace elements,Zr,56.7,86.6,35.1,29.1,20.9,94.2,91.4,72.5,207.0,36.3,42.4,249.0,33.9,68.3,97.6,67.2
trace elements,Nb,7.23,5.37,8.68,4.02,3.56,6.86,8.04,7.2,47.4,2.46,7.07,18.6,1.07,2.59,12.1,2.06
trace elements,Ba,137.0,510.0,340.0,76.0,85.1,453.0,369.0,305.0,1290.0,130.0,141.0,534.0,63.6,261.0,587.0,315.0
trace elements,Cs,0.222,0.302,0.141,0.083,0.0876,0.427,0.436,0.241,2.83,,0.1658,4.58,0.358,20.6,0.662,0.0821
trace elements,Pb,17.8,4.68,6.56,4.88,4.73,6.3,4.22,23.9,5.78,,4.49,18.0,0.13,2.46,48.0,1.72
trace elements,Th,0.24,3.55,0.63,0.201,0.218,2.32,2.3,2.53,12.4,,0.42,33.2,0.36800419044228166,2.77,4.76,0.593
trace elements,U,0.0534,0.39,0.165,0.0873,0.0963,0.696,0.47,0.396,1.0,,0.13,1.42,0.02909516425783551,1.17,0.924,0.214
trace elements,La,7.57,11.5,6.8,3.96,4.32,8.96,13.3,16.5,72.5,,6.77,93.1,8.18,11.9,30.8,4.01
trace elements,Ce,17.9,31.2,21.4,11.4,11.5,20.1,34.0,41.1,164.0,,26.3,182.0,16.1,25.6,64.9,10.1
trace elements,Pr,2.38,4.02,3.24,1.74,1.65,2.54,4.69,5.59,16.5,,4.72,18.3,1.78,3.71,7.5,1.39
trace elements,Nd,10.9,18.9,15.5,8.5,7.87,11.0,21.4,25.3,61.3,,26.0,63.9,6.7,16.9,29.1,6.65
trace elements,Sm,2.78,4.65,4.33,2.46,1.91,2.48,5.27,5.73,10.2,,8.01,11.2,1.28,4.07,5.11,1.97
trace elements,Eu,0.928,1.46,1.19,0.756,0.832,0.772,1.28,1.49,2.78,,1.33,1.96,1.12,0.81,1.54,0.673
trace elements,Dy,3.82,3.84,5.45,2.59,2.05,2.33,4.74,4.86,4.89,,8.03,8.06,,3.28,3.84,2.86
trace elements,Yb,2.42,1.79,3.09,1.31,1.3,1.31,2.51,2.67,1.7,,3.64,3.82,0.52,1.77,2.06,1.7
trace elements,Lu,0.359,0.248,0.459,0.188,0.196,0.187,0.357,0.383,0.231,,0.498,0.502,0.092,0.264,0.304,0.247
