sample_id,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Ba_ppm,Cs_ppm,Pb_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Dy_ppm,Yb_ppm,Lu_ppm
HX12-03,7.83,368.0,26.3,56.7,7.23,137.0,0.222,17.8,0.24,0.053,7.57,17.9,2.38,10.9,2.78,0.928,3.82,2.42,0.359
HX12-04,9.94,878.0,23.3,86.6,5.37,510.0,0.302,4.68,3.55,0.39,11.5,31.2,4.02,18.9,4.65,1.46,3.84,1.79,0.248
HX12-09a,10.8,220.0,34.9,35.1,8.68,340.0,0.141,6.56,0.63,0.165,6.8,21.4,3.24,15.5,4.33,1.19,5.45,3.09,0.459
HX12-10a,5.74,282.0,16.3,29.1,4.02,76.0,0.083,4.88,0.201,0.087,3.96,11.4,1.74,8.5,2.46,0.756,2.59,1.31,0.188
HX12-10b,5.9,328.0,14.1,20.9,3.56,85.1,0.088,4.73,0.218,0.096,4.32,11.5,1.65,7.87,1.91,0.832,2.05,1.3,0.196
HX12-08b,23.4,696.0,14.9,94.2,6.86,453.0,0.427,6.3,2.32,0.696,8.96,20.1,2.54,11.0,2.48,0.772,2.33,1.31,0.187
HX12-08c,22.2,608.0,29.9,91.4,8.04,369.0,0.436,4.22,2.3,0.47,13.3,34.0,4.69,21.4,5.27,1.28,4.74,2.51,0.357
HX12-12,14.3,756.0,31.2,72.5,7.2,305.0,0.241,23.9,2.53,0.396,16.5,41.1,5.59,25.3,5.73,1.49,4.86,2.67,0.383
HX12-18,181.0,947.0,26.6,207.0,47.4,1290.0,2.83,5.78,12.4,1.0,72.5,164.0,16.5,61.3,10.2,2.78,4.89,1.7,0.231
HX12-20,7.84,216.0,,36.3,2.46,130.0,,,,,,,,,,,,,
HX12-21,15.8,227.0,48.6,42.4,7.07,141.0,0.1658,4.49,0.42,0.13,6.77,26.3,4.72,26.0,8.01,1.33,8.03,3.64,0.498
HX12-22,104.0,398.0,50.7,249.0,18.6,534.0,4.58,18.0,33.2,1.42,93.1,182.0,18.3,63.9,11.2,1.96,8.06,3.82,0.502
HX12-PE,12.0,27.7,5.34,33.9,1.07,63.6,0.358,0.13,0.368,0.029,8.18,16.1,1.78,6.7,1.28,1.12,,0.52,0.092
HX12-23,304.0,24.3,21.9,68.3,2.59,261.0,20.6,2.46,2.77,1.17,11.9,25.6,3.71,16.9,4.07,0.81,3.28,1.77,0.264
HX12-01,25.0,1730.0,25.0,97.6,12.1,587.0,0.662,48.0,4.76,0.924,30.8,64.9,7.5,29.1,5.11,1.54,3.84,2.06,0.304
HX12-19,13.5,580.0,19.0,67.2,2.06,315.0,0.0821,1.72,0.593,0.214,4.01,10.1,1.39,6.65,1.97,0.673,2.86,1.7,0.247
